epoch,loss,time
0,0.512187,0.017000
1,0.332688,0.035000
2,0.249709,0.053000
3,0.193677,0.070000
4,0.154949,0.087000
5,0.127344,0.106000
6,0.107048,0.112000
7,0.091696,0.141000
8,0.079788,0.159000
9,0.070347,0.176000
10,0.062719,0.194000
11,0.056451,0.211000
12,0.051227,0.228000
13,0.046818,0.235000
14,0.043053,0.251000
15,0.039808,0.267000
16,0.036985,0.299000
17,0.034511,0.317000
18,0.032326,0.334000
19,0.030385,0.350000
20,0.028650,0.368000
21,0.027091,0.378000
22,0.025683,0.394000
23,0.024406,0.409000
24,0.023244,0.425000
25,0.022181,0.457000
26,0.021206,0.473000
27,0.020309,0.489000
28,0.019482,0.505000
29,0.018715,0.521000
30,0.018004,0.537000
31,0.017342,0.553000
32,0.016725,0.571000
33,0.016149,0.588000
34,0.015609,0.601000
35,0.015102,0.617000
36,0.014626,0.649000
37,0.014178,0.665000
38,0.013755,0.681000
39,0.013356,0.696000
40,0.012978,0.713000
41,0.012620,0.729000
42,0.012281,0.755000
43,0.011958,0.760000
44,0.011652,0.777000
45,0.011360,0.808000
46,0.011082,0.824000
47,0.010817,0.841000
48,0.010563,0.860000
49,0.010321,0.872000
50,0.010089,0.888000
51,0.009868,0.904000
52,0.009655,0.922000
53,0.009451,0.951000
54,0.009255,0.967000
55,0.009067,0.983000
56,0.008886,0.999000
57,0.008711,1.015000
58,0.008544,1.030000
59,0.008382,1.047000
60,0.008226,1.065000
61,0.008076,1.081000
62,0.007931,1.111000
63,0.007791,1.127000
64,0.007656,1.143000
65,0.007525,1.158000
66,0.007398,1.174000
67,0.007276,1.190000
68,0.007157,1.206000
69,0.007042,1.222000
70,0.006930,1.238000
71,0.006822,1.254000
72,0.006717,1.270000
73,0.006616,1.302000
74,0.006517,1.318000
75,0.006421,1.334000
76,0.006327,1.358000
77,0.006237,1.375000
78,0.006148,1.392000
79,0.006063,1.396000
80,0.005979,1.427000
81,0.005898,1.445000
82,0.005818,1.460000
83,0.005741,1.480000
84,0.005666,1.492000
85,0.005593,1.517000
86,0.005521,1.523000
87,0.005451,1.539000
88,0.005383,1.571000
89,0.005317,1.587000
90,0.005252,1.604000
91,0.005189,1.622000
92,0.005127,1.640000
93,0.005067,1.657000
94,0.005008,1.675000
95,0.004950,1.681000
96,0.004893,1.710000
97,0.004838,1.728000
98,0.004784,1.744000
99,0.004731,1.762000
100,0.004680,1.784000
101,0.004629,1.803000
102,0.004579,1.814000
103,0.004531,1.838000
104,0.004483,1.856000
105,0.004437,1.870000
106,0.004391,1.886000
107,0.004346,1.902000
108,0.004303,1.927000
109,0.004260,1.933000
110,0.004217,1.949000
111,0.004176,1.965000
112,0.004135,1.996000
113,0.004096,2.014000
114,0.004056,2.031000
115,0.004018,2.047000
116,0.003980,2.067000
117,0.003944,2.082000
118,0.003907,2.090000
119,0.003872,2.120000
120,0.003837,2.138000
121,0.003802,2.153000
122,0.003768,2.169000
123,0.003735,2.185000
124,0.003702,2.201000
125,0.003670,2.217000
126,0.003639,2.233000
127,0.003608,2.249000
128,0.003577,2.265000
129,0.003547,2.281000
130,0.003518,2.311000
131,0.003489,2.330000
132,0.003460,2.344000
133,0.003432,2.362000
134,0.003404,2.380000
135,0.003377,2.394000
136,0.003350,2.407000
137,0.003324,2.423000
138,0.003298,2.455000
139,0.003272,2.471000
140,0.003247,2.487000
141,0.003222,2.503000
142,0.003197,2.519000
143,0.003173,2.535000
144,0.003149,2.551000
145,0.003126,2.567000
146,0.003103,2.583000
147,0.003080,2.614000
148,0.003058,2.630000
149,0.003036,2.646000
150,0.003014,2.668000
151,0.002992,2.686000
152,0.002971,2.694000
153,0.002950,2.721000
154,0.002930,2.739000
155,0.002909,2.756000
156,0.002889,2.772000
157,0.002869,2.788000
158,0.002850,2.804000
159,0.002831,2.822000
160,0.002812,2.836000
161,0.002793,2.852000
162,0.002774,2.884000
163,0.002756,2.900000
164,0.002738,2.916000
165,0.002720,2.932000
166,0.002703,2.948000
167,0.002685,2.964000
168,0.002668,2.979000
169,0.002651,2.996000
