epoch,loss,time
1,0.594330,0.000000
2,0.959233,0.000000
3,0.591826,0.000000
4,0.959610,0.000000
5,0.968294,0.000000
6,1.166225,0.000000
7,1.339527,0.000000
8,0.786565,0.000000
9,0.745385,0.000000
10,0.954198,0.000000
11,0.966296,0.000000
12,0.571341,0.000000
13,0.583022,0.000000
14,0.942211,0.000000
15,1.145442,0.000000
16,0.577355,0.009000
17,0.878947,0.009000
18,0.947695,0.009000
19,1.091464,0.009000
20,0.970767,0.009000
21,1.345421,0.009000
22,0.741619,0.009000
23,1.336054,0.009000
24,0.550404,0.009000
25,1.152495,0.009000
26,1.123148,0.009000
27,1.121771,0.009000
28,0.954106,0.009000
29,1.145940,0.009000
30,1.272161,0.009000
31,0.951746,0.009000
32,0.755410,0.009000
33,0.922587,0.009000
34,0.395649,0.009000
35,0.577705,0.011000
36,1.125279,0.011000
37,0.751362,0.011000
38,0.928922,0.011000
39,1.303626,0.011000
40,1.323399,0.011000
41,1.327804,0.011000
42,1.252641,0.011000
43,1.103901,0.011000
44,1.142902,0.011000
45,1.172493,0.011000
46,1.695108,0.011000
47,1.149744,0.011000
48,1.114792,0.011000
49,1.107239,0.011000
50,0.557395,0.011000
51,0.885771,0.013000
52,1.154058,0.013000
53,0.899561,0.013000
54,0.740314,0.013000
55,0.379718,0.013000
56,0.928333,0.013000
57,0.922018,0.013000
58,0.912309,0.013000
59,0.932560,0.013000
60,1.246183,0.013000
61,0.919372,0.013000
62,0.544717,0.013000
63,1.452049,0.013000
64,0.834945,0.013000
65,0.928144,0.013000
66,0.930979,0.013000
67,1.038860,0.013000
68,0.787311,0.015000
69,1.319396,0.015000
70,0.929229,0.015000
71,1.216280,0.015000
72,0.480749,0.015000
73,0.894649,0.015000
74,0.877043,0.015000
75,0.691312,0.015000
76,0.938001,0.016000
77,0.532005,0.016000
78,0.665798,0.016000
79,1.021696,0.016000
80,0.811119,0.016000
81,0.871354,0.016000
82,0.787188,0.016000
83,0.997430,0.016000
84,1.004451,0.016000
85,0.533802,0.016000
86,0.688481,0.016000
87,0.320422,0.016000
88,1.021954,0.016000
89,0.691417,0.016000
90,0.794563,0.016000
91,0.365773,0.016000
92,0.681686,0.016000
93,0.636494,0.016000
94,0.895589,0.016000
95,0.977140,0.016000
96,0.822763,0.016000
97,1.041068,0.016000
98,0.473393,0.016000
99,0.703913,0.016000
100,0.525015,0.016000
101,0.823976,0.016000
102,0.770449,0.016000
103,1.146836,0.016000
104,0.933648,0.016000
105,0.807900,0.016000
106,0.783828,0.016000
107,1.095662,0.016000
108,0.711543,0.016000
109,0.945791,0.016000
110,0.673797,0.016000
111,0.906011,0.016000
112,0.479073,0.016000
113,0.359515,0.016000
114,0.944634,0.016000
115,0.529942,0.016000
