epoch,loss,time
1,0.465103,0.270000
2,0.399994,0.572000
3,0.366995,0.881000
4,0.340894,1.160000
5,0.318379,1.495000
6,0.298234,1.843000
7,0.279839,2.177000
8,0.262821,2.493000
9,0.246936,2.762000
10,0.232015,3.067000
11,0.217935,3.373000
12,0.204608,3.684000
13,0.191965,4.001000
14,0.179954,4.319000
15,0.168535,4.653000
16,0.157673,4.938000
17,0.147344,5.304000
18,0.137523,5.654000
19,0.128193,6.004000
20,0.119336,6.355000
21,0.110938,6.687000
22,0.102983,7.021000
23,0.095460,7.370000
24,0.088355,7.687000
25,0.081655,8.007000
26,0.075348,8.356000
27,0.069421,8.658000
28,0.063860,9.002000
29,0.058653,9.309000
30,0.053786,9.633000
31,0.049245,9.943000
32,0.045017,10.276000
33,0.041087,10.610000
34,0.037442,10.928000
35,0.034067,11.247000
36,0.030949,11.548000
37,0.028073,11.893000
38,0.025425,12.202000
39,0.022992,12.505000
40,0.020762,12.823000
41,0.018720,13.108000
42,0.016854,13.426000
43,0.015152,13.747000
44,0.013603,14.060000
45,0.012195,14.361000
46,0.010918,14.694000
47,0.009761,15.022000
48,0.008716,15.343000
49,0.007772,15.676000
50,0.006921,15.994000
51,0.006155,16.266000
52,0.005468,16.520000
53,0.004851,16.759000
54,0.004299,16.984000
55,0.003805,17.236000
56,0.003363,17.462000
57,0.002970,17.697000
58,0.002620,17.935000
59,0.002308,18.157000
60,0.002031,18.444000
61,0.001786,18.777000
62,0.001568,19.175000
63,0.001376,19.427000
64,0.001206,19.763000
65,0.001056,20.045000
66,0.000924,20.347000
