epoch,loss,time
0,0.971397,0.016000
1,0.437301,0.031000
2,0.315238,0.047000
3,0.237888,0.063000
4,0.185543,0.079000
5,0.149192,0.095000
6,0.123143,0.111000
7,0.103893,0.143000
8,0.089265,0.160000
9,0.077873,0.174000
10,0.068808,0.190000
11,0.061460,0.206000
12,0.055407,0.224000
13,0.050349,0.238000
14,0.046070,0.254000
15,0.042411,0.270000
16,0.039251,0.286000
17,0.036498,0.318000
18,0.034081,0.334000
19,0.031945,0.350000
20,0.030045,0.366000
21,0.028345,0.382000
22,0.026816,0.412000
23,0.025434,0.429000
24,0.024180,0.445000
25,0.023037,0.461000
26,0.021992,0.480000
27,0.021032,0.492000
28,0.020149,0.508000
29,0.019333,0.524000
30,0.018577,0.555000
31,0.017876,0.571000
32,0.017223,0.587000
33,0.016614,0.603000
34,0.016045,0.619000
35,0.015511,0.635000
36,0.015011,0.653000
37,0.014540,0.683000
38,0.014096,0.699000
39,0.013678,0.715000
40,0.013283,0.737000
41,0.012909,0.746000
42,0.012555,0.762000
43,0.012219,0.778000
44,0.011900,0.810000
45,0.011596,0.826000
46,0.011307,0.842000
47,0.011031,0.860000
48,0.010768,0.874000
49,0.010517,0.890000
50,0.010277,0.905000
51,0.010047,0.921000
52,0.009827,0.953000
53,0.009616,0.970000
54,0.009413,0.988000
55,0.009219,1.006000
56,0.009032,1.024000
57,0.008852,1.032000
58,0.008679,1.048000
59,0.008513,1.064000
60,0.008352,1.096000
61,0.008198,1.112000
62,0.008048,1.127000
63,0.007904,1.149000
64,0.007765,1.159000
65,0.007631,1.175000
66,0.007501,1.204000
67,0.007375,1.207000
68,0.007253,1.239000
69,0.007135,1.255000
70,0.007021,1.271000
71,0.006910,1.287000
72,0.006802,1.302000
73,0.006698,1.318000
74,0.006597,1.350000
75,0.006498,1.366000
76,0.006403,1.384000
77,0.006310,1.403000
78,0.006220,1.421000
79,0.006132,1.428000
80,0.006047,1.444000
81,0.005963,1.460000
82,0.005882,1.492000
83,0.005804,1.508000
84,0.005727,1.526000
85,0.005652,1.540000
86,0.005579,1.555000
87,0.005508,1.572000
88,0.005438,1.587000
89,0.005371,1.612000
90,0.005305,1.619000
91,0.005240,1.651000
92,0.005177,1.667000
93,0.005116,1.683000
94,0.005055,1.699000
95,0.004997,1.715000
