epoch,loss,time
1,0.797032,0.000000
2,1.393016,0.000000
3,1.792707,0.000000
4,0.997656,0.000000
5,0.787500,0.000000
6,1.191065,0.000000
7,1.379048,0.000000
8,0.792502,0.000000
9,0.998839,0.000000
10,0.195582,0.000000
11,1.133634,0.016000
12,0.797887,0.016000
13,0.781431,0.016000
14,0.595238,0.016000
15,1.394334,0.016000
16,0.980319,0.016000
17,0.594230,0.016000
18,1.190888,0.016000
19,1.197769,0.016000
20,1.192847,0.016000
21,0.994468,0.016000
22,1.390139,0.016000
23,0.596858,0.016000
24,0.593274,0.016000
25,1.581277,0.016000
26,1.198252,0.016000
27,1.386349,0.016000
28,0.992451,0.016000
29,0.797675,0.016000
30,0.393113,0.016000
31,0.996404,0.016000
32,0.599156,0.016000
33,1.130501,0.016000
34,0.398866,0.016000
35,0.000011,0.016000
