epoch,loss,time
0,0.519760,0.016000
1,0.330845,0.032000
2,0.248407,0.064000
3,0.192761,0.080000
4,0.154290,0.096000
5,0.126857,0.112000
6,0.106678,0.128000
7,0.091409,0.144000
8,0.079560,0.170000
9,0.070163,0.175000
10,0.062567,0.191000
11,0.056325,0.223000
12,0.051121,0.238000
13,0.046727,0.254000
14,0.042975,0.270000
15,0.039740,0.286000
16,0.036925,0.301000
17,0.034458,0.317000
18,0.032279,0.333000
19,0.030342,0.349000
20,0.028611,0.382000
21,0.027056,0.397000
22,0.025652,0.413000
23,0.024378,0.429000
24,0.023218,0.445000
25,0.022157,0.461000
26,0.021184,0.476000
27,0.020289,0.492000
28,0.019463,0.522000
29,0.018698,0.540000
30,0.017988,0.555000
31,0.017327,0.572000
32,0.016711,0.588000
33,0.016135,0.604000
34,0.015596,0.622000
35,0.015090,0.636000
36,0.014615,0.652000
37,0.014167,0.668000
38,0.013745,0.687000
39,0.013346,0.700000
40,0.012969,0.732000
41,0.012612,0.749000
42,0.012273,0.763000
43,0.011951,0.783000
44,0.011644,0.801000
45,0.011353,0.818000
46,0.011075,0.836000
47,0.010810,0.854000
48,0.010557,0.857000
49,0.010315,0.873000
50,0.010084,0.907000
51,0.009862,0.921000
52,0.009650,0.939000
53,0.009446,0.958000
54,0.009250,0.976000
55,0.009062,0.984000
56,0.008881,1.002000
57,0.008707,1.016000
58,0.008540,1.047000
59,0.008378,1.066000
60,0.008223,1.083000
61,0.008072,1.101000
62,0.007928,1.117000
63,0.007788,1.134000
64,0.007652,1.152000
65,0.007521,1.171000
66,0.007395,1.189000
67,0.007272,1.205000
68,0.007154,1.220000
69,0.007039,1.243000
70,0.006927,1.253000
71,0.006819,1.278000
72,0.006715,1.284000
73,0.006613,1.303000
74,0.006514,1.316000
75,0.006418,1.347000
76,0.006325,1.363000
77,0.006234,1.380000
78,0.006146,1.396000
79,0.006060,1.411000
80,0.005977,1.427000
81,0.005896,1.453000
82,0.005816,1.471000
83,0.005739,1.477000
84,0.005664,1.507000
85,0.005591,1.525000
86,0.005519,1.538000
87,0.005450,1.559000
88,0.005382,1.576000
89,0.005315,1.586000
90,0.005250,1.602000
91,0.005187,1.618000
92,0.005125,1.634000
93,0.005065,1.666000
94,0.005006,1.682000
95,0.004948,1.700000
96,0.004892,1.714000
97,0.004837,1.730000
98,0.004783,1.746000
99,0.004730,1.762000
100,0.004678,1.778000
101,0.004628,1.794000
102,0.004578,1.810000
103,0.004530,1.839000
104,0.004482,1.857000
105,0.004436,1.873000
106,0.004390,1.889000
107,0.004345,1.908000
108,0.004301,1.921000
109,0.004258,1.937000
110,0.004216,1.953000
111,0.004175,1.981000
112,0.004134,1.985000
113,0.004094,2.000000
114,0.004055,2.032000
115,0.004017,2.051000
116,0.003979,2.064000
117,0.003943,2.086000
118,0.003906,2.104000
119,0.003871,2.121000
120,0.003836,2.138000
121,0.003801,2.142000
122,0.003767,2.175000
123,0.003734,2.190000
124,0.003702,2.206000
125,0.003669,2.228000
126,0.003638,2.238000
127,0.003607,2.263000
128,0.003576,2.269000
129,0.003546,2.285000
130,0.003517,2.317000
131,0.003488,2.333000
132,0.003459,2.348000
133,0.003431,2.364000
134,0.003403,2.381000
135,0.003376,2.397000
136,0.003349,2.413000
137,0.003323,2.429000
138,0.003297,2.445000
139,0.003271,2.461000
140,0.003246,2.493000
141,0.003221,2.509000
142,0.003197,2.525000
143,0.003173,2.541000
144,0.003149,2.557000
145,0.003125,2.573000
146,0.003102,2.589000
147,0.003080,2.616000
148,0.003057,2.623000
149,0.003035,2.652000
150,0.003013,2.670000
151,0.002992,2.684000
152,0.002971,2.699000
153,0.002950,2.715000
154,0.002929,2.731000
155,0.002909,2.747000
156,0.002889,2.776000
157,0.002869,2.794000
158,0.002849,2.810000
159,0.002830,2.830000
160,0.002811,2.841000
161,0.002792,2.867000
162,0.002774,2.873000
163,0.002756,2.889000
164,0.002738,2.918000
165,0.002720,2.936000
166,0.002702,2.952000
167,0.002685,2.968000
168,0.002668,2.984000
169,0.002651,3.002000
170,0.002634,3.016000
171,0.002617,3.032000
172,0.002601,3.047000
173,0.002585,3.079000
174,0.002569,3.094000
175,0.002553,3.112000
176,0.002538,3.129000
177,0.002522,3.142000
178,0.002507,3.158000
179,0.002492,3.174000
180,0.002477,3.190000
181,0.002463,3.206000
182,0.002448,3.238000
183,0.002434,3.253000
184,0.002420,3.276000
185,0.002406,3.294000
186,0.002392,3.301000
187,0.002378,3.317000
188,0.002365,3.333000
189,0.002351,3.365000
190,0.002338,3.383000
191,0.002325,3.397000
192,0.002312,3.412000
193,0.002299,3.437000
194,0.002287,3.444000
195,0.002274,3.460000
196,0.002262,3.476000
197,0.002250,3.508000
198,0.002237,3.524000
199,0.002225,3.541000
200,0.002214,3.559000
201,0.002202,3.577000
202,0.002190,3.595000
203,0.002179,3.613000
204,0.002167,3.630000
205,0.002156,3.634000
206,0.002145,3.665000
207,0.002134,3.683000
208,0.002123,3.697000
209,0.002112,3.713000
210,0.002101,3.729000
211,0.002091,3.748000
212,0.002080,3.761000
213,0.002070,3.788000
214,0.002060,3.805000
215,0.002049,3.823000
216,0.002039,3.838000
217,0.002029,3.854000
218,0.002019,3.870000
219,0.002010,3.892000
220,0.002000,3.901000
221,0.001990,3.917000
222,0.001981,3.933000
223,0.001971,3.963000
224,0.001962,3.981000
225,0.001953,3.997000
226,0.001943,4.013000
227,0.001934,4.029000
228,0.001925,4.047000
229,0.001916,4.061000
230,0.001907,4.077000
231,0.001899,4.093000
