epoch,loss,time
1,0.468749,0.257000
2,0.395694,0.524000
3,0.362899,0.811000
4,0.336992,1.130000
5,0.314658,1.427000
6,0.294685,1.756000
7,0.276453,2.082000
8,0.259592,2.335000
9,0.243858,2.557000
10,0.229083,2.778000
11,0.215145,3.019000
12,0.201954,3.246000
13,0.189444,3.474000
14,0.177562,3.712000
15,0.166267,3.936000
16,0.155527,4.179000
17,0.145315,4.393000
18,0.135609,4.631000
19,0.126389,4.862000
20,0.117639,5.077000
21,0.109344,5.298000
22,0.101489,5.536000
23,0.094061,5.758000
24,0.087048,5.984000
25,0.080436,6.206000
26,0.074213,6.435000
27,0.068366,6.651000
28,0.062881,6.888000
29,0.057747,7.110000
30,0.052949,7.332000
31,0.048473,7.555000
32,0.044306,7.793000
33,0.040434,8.018000
34,0.036843,8.258000
35,0.033518,8.475000
36,0.030447,8.717000
37,0.027615,8.950000
38,0.025008,9.172000
39,0.022614,9.409000
40,0.020418,9.640000
41,0.018408,9.870000
42,0.016572,10.091000
43,0.014898,10.332000
44,0.013374,10.553000
45,0.011989,10.775000
46,0.010733,10.997000
47,0.009595,11.236000
48,0.008566,11.459000
49,0.007638,11.682000
50,0.006802,11.924000
51,0.006049,12.157000
52,0.005373,12.387000
53,0.004767,12.617000
54,0.004224,12.849000
55,0.003738,13.077000
56,0.003305,13.301000
57,0.002918,13.534000
58,0.002574,13.758000
59,0.002267,13.981000
60,0.001996,14.218000
61,0.001754,14.456000
62,0.001541,14.677000
63,0.001352,14.899000
64,0.001185,15.139000
65,0.001037,15.376000
66,0.000907,15.607000
