epoch,loss,time
1,0.471632,0.197000
2,0.401028,0.422000
3,0.367804,0.641000
4,0.341579,0.865000
5,0.318981,1.087000
6,0.298773,1.327000
7,0.280327,1.559000
8,0.263267,1.785000
9,0.247346,2.008000
10,0.232393,2.230000
11,0.218286,2.452000
12,0.204933,2.675000
13,0.192268,2.901000
14,0.180236,3.120000
15,0.168797,3.344000
16,0.157918,3.564000
17,0.147571,3.791000
18,0.137735,4.012000
19,0.128390,4.230000
20,0.119519,4.456000
21,0.111107,4.683000
22,0.103141,4.914000
23,0.095606,5.131000
24,0.088490,5.353000
25,0.081780,5.577000
26,0.075464,5.799000
27,0.069527,6.037000
28,0.063958,6.263000
29,0.058743,6.480000
30,0.053869,6.700000
31,0.049322,6.935000
32,0.045087,7.158000
33,0.041152,7.396000
34,0.037501,7.618000
35,0.034121,7.844000
36,0.030998,8.078000
37,0.028118,8.302000
38,0.025466,8.541000
39,0.023030,8.764000
40,0.020796,8.987000
41,0.018750,9.209000
42,0.016882,9.455000
43,0.015178,9.684000
44,0.013626,9.907000
45,0.012216,10.144000
46,0.010937,10.379000
47,0.009778,10.604000
48,0.008731,10.835000
49,0.007785,11.063000
50,0.006933,11.293000
51,0.006166,11.523000
52,0.005477,11.746000
53,0.004860,11.983000
54,0.004306,12.213000
55,0.003811,12.440000
56,0.003370,12.664000
57,0.002975,12.898000
58,0.002624,13.132000
59,0.002312,13.361000
60,0.002035,13.592000
61,0.001789,13.816000
62,0.001571,14.055000
63,0.001379,14.291000
64,0.001208,14.514000
65,0.001058,14.752000
66,0.000926,14.991000
