epoch,loss,time
1,0.468386,0.206000
2,0.400300,0.426000
3,0.367238,0.618000
4,0.341103,0.839000
5,0.318566,1.066000
6,0.298405,1.283000
7,0.279997,1.505000
8,0.262968,1.726000
9,0.247074,1.953000
10,0.232145,2.186000
11,0.218058,2.430000
12,0.204724,2.667000
13,0.192075,2.885000
14,0.180058,3.122000
15,0.168633,3.351000
16,0.157766,3.568000
17,0.147431,3.810000
18,0.137605,4.044000
19,0.128270,4.280000
20,0.119408,4.509000
21,0.111005,4.727000
22,0.103047,4.949000
23,0.095519,5.187000
24,0.088410,5.421000
25,0.081706,5.646000
26,0.075396,5.875000
27,0.069465,6.090000
28,0.063901,6.329000
29,0.058691,6.551000
30,0.053821,6.778000
31,0.049278,7.011000
32,0.045047,7.246000
33,0.041115,7.479000
34,0.037468,7.709000
35,0.034091,7.965000
36,0.030970,8.280000
37,0.028092,8.614000
38,0.025443,8.948000
39,0.023009,9.301000
40,0.020777,9.599000
41,0.018733,9.966000
42,0.016866,10.313000
43,0.015164,10.673000
44,0.013614,11.031000
45,0.012205,11.383000
46,0.010927,11.668000
47,0.009769,12.001000
48,0.008723,12.352000
49,0.007778,12.654000
50,0.006926,12.988000
51,0.006160,13.307000
52,0.005472,13.673000
53,0.004855,14.054000
54,0.004302,14.373000
55,0.003808,14.689000
56,0.003366,14.991000
57,0.002973,15.325000
58,0.002622,15.660000
59,0.002310,15.982000
60,0.002033,16.278000
61,0.001787,16.571000
62,0.001570,16.895000
63,0.001377,17.229000
64,0.001207,17.577000
65,0.001057,17.877000
66,0.000925,18.193000
