epoch,loss,time
0,0.913190,0.014000
1,0.415941,0.031000
2,0.306035,0.046000
3,0.231861,0.062000
4,0.181461,0.078000
5,0.146327,0.106000
6,0.121064,0.110000
7,0.102337,0.142000
8,0.088069,0.158000
9,0.076931,0.173000
10,0.068052,0.189000
11,0.060842,0.205000
12,0.054894,0.224000
13,0.049918,0.237000
14,0.045703,0.253000
15,0.042096,0.285000
16,0.038977,0.301000
17,0.036259,0.317000
18,0.033871,0.333000
19,0.031759,0.349000
20,0.029879,0.368000
21,0.028196,0.381000
22,0.026681,0.397000
23,0.025312,0.429000
24,0.024069,0.445000
25,0.022936,0.464000
26,0.021899,0.480000
27,0.020947,0.491000
28,0.020070,0.509000
29,0.019261,0.523000
30,0.018510,0.538000
31,0.017814,0.554000
32,0.017165,0.586000
33,0.016560,0.601000
34,0.015994,0.618000
35,0.015463,0.633000
36,0.014966,0.649000
37,0.014498,0.665000
38,0.014057,0.690000
39,0.013641,0.712000
40,0.013248,0.728000
41,0.012876,0.748000
42,0.012523,0.759000
43,0.012189,0.775000
44,0.011871,0.791000
45,0.011569,0.817000
46,0.011281,0.822000
47,0.011006,0.854000
48,0.010744,0.870000
49,0.010494,0.886000
50,0.010255,0.902000
51,0.010026,0.918000
52,0.009807,0.934000
53,0.009597,0.950000
54,0.009395,0.966000
55,0.009201,0.982000
56,0.009015,1.014000
57,0.008836,1.032000
58,0.008664,1.049000
59,0.008498,1.061000
60,0.008338,1.078000
61,0.008184,1.092000
62,0.008035,1.108000
63,0.007891,1.124000
64,0.007753,1.156000
65,0.007619,1.172000
66,0.007489,1.188000
67,0.007363,1.204000
68,0.007242,1.220000
69,0.007124,1.236000
70,0.007010,1.252000
71,0.006900,1.268000
72,0.006792,1.288000
73,0.006688,1.315000
74,0.006588,1.331000
75,0.006489,1.347000
76,0.006394,1.363000
77,0.006302,1.381000
78,0.006212,1.395000
79,0.006124,1.411000
80,0.006039,1.426000
81,0.005956,1.442000
82,0.005875,1.472000
83,0.005797,1.490000
84,0.005720,1.506000
85,0.005645,1.522000
86,0.005572,1.538000
87,0.005501,1.554000
88,0.005432,1.570000
89,0.005365,1.596000
90,0.005299,1.613000
91,0.005234,1.634000
92,0.005171,1.650000
93,0.005110,1.666000
94,0.005050,1.688000
95,0.004991,1.697000
96,0.004934,1.713000
97,0.004878,1.729000
98,0.004823,1.745000
99,0.004769,1.761000
100,0.004717,1.793000
101,0.004665,1.809000
102,0.004615,1.829000
103,0.004566,1.840000
104,0.004517,1.856000
105,0.004470,1.872000
106,0.004424,1.888000
107,0.004378,1.904000
108,0.004334,1.919000
109,0.004290,1.951000
110,0.004248,1.969000
111,0.004206,1.985000
112,0.004165,1.999000
113,0.004124,2.014000
