epoch,loss,time
0,0.437584,0.031000
1,0.319759,0.047000
2,0.241033,0.067000
3,0.187739,0.079000
4,0.150762,0.095000
5,0.124297,0.111000
6,0.104765,0.127000
7,0.089940,0.158000
8,0.078406,0.175000
9,0.069238,0.193000
10,0.061813,0.211000
11,0.055700,0.229000
12,0.050596,0.246000
13,0.046281,0.264000
14,0.042592,0.269000
15,0.039408,0.301000
16,0.036636,0.319000
17,0.034203,0.333000
18,0.032053,0.349000
19,0.030141,0.365000
20,0.028431,0.381000
21,0.026894,0.396000
22,0.025505,0.428000
23,0.024244,0.444000
24,0.023096,0.460000
25,0.022046,0.482000
26,0.021082,0.492000
27,0.020195,0.507000
28,0.019375,0.523000
29,0.018617,0.539000
30,0.017913,0.555000
31,0.017257,0.587000
32,0.016646,0.603000
33,0.016074,0.619000
34,0.015539,0.635000
35,0.015037,0.651000
36,0.014565,0.667000
37,0.014120,0.683000
38,0.013700,0.699000
39,0.013304,0.715000
40,0.012929,0.747000
41,0.012574,0.763000
42,0.012237,0.779000
43,0.011916,0.795000
44,0.011612,0.817000
45,0.011322,0.838000
46,0.011046,0.842000
47,0.010782,0.874000
48,0.010530,0.890000
49,0.010290,0.906000
50,0.010059,0.930000
51,0.009838,0.950000
52,0.009627,0.969000
53,0.009424,0.985000
54,0.009229,1.004000
55,0.009042,1.017000
56,0.008862,1.033000
57,0.008689,1.049000
58,0.008522,1.065000
59,0.008361,1.080000
60,0.008206,1.096000
61,0.008056,1.128000
62,0.007912,1.144000
63,0.007773,1.160000
64,0.007638,1.184000
65,0.007508,1.192000
66,0.007381,1.208000
67,0.007259,1.224000
68,0.007141,1.240000
69,0.007027,1.271000
70,0.006916,1.287000
71,0.006808,1.303000
72,0.006704,1.325000
73,0.006602,1.343000
74,0.006504,1.353000
75,0.006408,1.366000
76,0.006315,1.383000
77,0.006225,1.414000
78,0.006137,1.430000
79,0.006051,1.446000
80,0.005968,1.461000
81,0.005887,1.477000
82,0.005808,1.493000
83,0.005731,1.522000
84,0.005656,1.539000
85,0.005583,1.559000
86,0.005512,1.576000
87,0.005442,1.591000
88,0.005374,1.603000
89,0.005308,1.619000
90,0.005244,1.635000
91,0.005180,1.651000
92,0.005119,1.666000
93,0.005059,1.698000
94,0.005000,1.713000
95,0.004942,1.729000
96,0.004886,1.751000
97,0.004831,1.767000
98,0.004777,1.785000
99,0.004724,1.804000
100,0.004673,1.821000
101,0.004622,1.840000
102,0.004573,1.856000
103,0.004524,1.872000
104,0.004477,1.888000
105,0.004431,1.904000
106,0.004385,1.920000
107,0.004340,1.938000
108,0.004297,1.951000
109,0.004254,1.967000
110,0.004212,1.983000
111,0.004170,2.015000
112,0.004130,2.030000
113,0.004090,2.046000
114,0.004051,2.062000
115,0.004013,2.084000
116,0.003975,2.103000
117,0.003939,2.110000
118,0.003902,2.126000
119,0.003867,2.145000
120,0.003832,2.174000
121,0.003798,2.190000
122,0.003764,2.206000
123,0.003731,2.222000
124,0.003698,2.238000
125,0.003666,2.262000
126,0.003635,2.269000
127,0.003604,2.285000
128,0.003573,2.315000
129,0.003543,2.333000
130,0.003514,2.349000
131,0.003485,2.365000
132,0.003456,2.383000
133,0.003428,2.396000
134,0.003400,2.412000
135,0.003373,2.440000
136,0.003346,2.460000
137,0.003320,2.476000
138,0.003294,2.491000
139,0.003269,2.508000
140,0.003243,2.523000
141,0.003219,2.539000
142,0.003194,2.555000
143,0.003170,2.571000
144,0.003146,2.587000
145,0.003123,2.618000
146,0.003100,2.634000
147,0.003077,2.651000
148,0.003055,2.669000
149,0.003033,2.689000
150,0.003011,2.704000
151,0.002990,2.722000
152,0.002968,2.740000
153,0.002947,2.757000
154,0.002927,2.777000
155,0.002907,2.791000
156,0.002887,2.807000
157,0.002867,2.829000
158,0.002847,2.846000
159,0.002828,2.864000
160,0.002809,2.870000
161,0.002790,2.899000
162,0.002772,2.916000
163,0.002754,2.932000
164,0.002736,2.948000
165,0.002718,2.968000
166,0.002700,2.985000
167,0.002683,3.003000
168,0.002666,3.020000
169,0.002649,3.038000
170,0.002632,3.055000
171,0.002616,3.073000
172,0.002599,3.089000
173,0.002583,3.109000
174,0.002567,3.126000
175,0.002552,3.136000
176,0.002536,3.162000
177,0.002521,3.180000
178,0.002506,3.184000
179,0.002491,3.215000
180,0.002476,3.231000
181,0.002461,3.247000
182,0.002447,3.263000
183,0.002433,3.279000
184,0.002418,3.294000
185,0.002404,3.310000
186,0.002391,3.340000
187,0.002377,3.357000
188,0.002363,3.375000
189,0.002350,3.394000
190,0.002337,3.412000
191,0.002324,3.429000
192,0.002311,3.452000
193,0.002298,3.467000
194,0.002285,3.483000
195,0.002273,3.499000
196,0.002261,3.515000
197,0.002248,3.538000
198,0.002236,3.547000
199,0.002224,3.563000
200,0.002212,3.579000
201,0.002201,3.595000
202,0.002189,3.627000
203,0.002178,3.643000
204,0.002166,3.659000
205,0.002155,3.675000
206,0.002144,3.691000
207,0.002133,3.707000
208,0.002122,3.723000
209,0.002111,3.739000
210,0.002100,3.755000
211,0.002090,3.771000
212,0.002079,3.787000
213,0.002069,3.818000
214,0.002058,3.834000
215,0.002048,3.850000
216,0.002038,3.866000
217,0.002028,3.882000
218,0.002018,3.898000
219,0.002009,3.914000
220,0.001999,3.930000
221,0.001989,3.963000
222,0.001980,3.983000
223,0.001970,4.000000
224,0.001961,4.016000
225,0.001952,4.026000
226,0.001942,4.041000
227,0.001933,4.057000
228,0.001924,4.073000
229,0.001915,4.105000
230,0.001907,4.122000
231,0.001898,4.138000
232,0.001889,4.155000
233,0.001881,4.173000
234,0.001872,4.191000
235,0.001864,4.209000
236,0.001855,4.215000
237,0.001847,4.231000
238,0.001839,4.262000
239,0.001830,4.279000
240,0.001822,4.293000
241,0.001814,4.313000
242,0.001806,4.331000
243,0.001798,4.340000
244,0.001791,4.356000
245,0.001783,4.372000
246,0.001775,4.388000
247,0.001768,4.422000
248,0.001760,4.436000
249,0.001753,4.451000
250,0.001745,4.467000
251,0.001738,4.483000
252,0.001730,4.511000
253,0.001723,4.527000
254,0.001716,4.544000
255,0.001709,4.562000
256,0.001702,4.584000
257,0.001695,4.604000
258,0.001688,4.620000
259,0.001681,4.638000
260,0.001674,4.655000
261,0.001667,4.673000
262,0.001661,4.689000
263,0.001654,4.705000
264,0.001647,4.720000
265,0.001641,4.736000
266,0.001634,4.766000
267,0.001628,4.782000
268,0.001621,4.799000
269,0.001615,4.815000
270,0.001609,4.831000
271,0.001602,4.847000
272,0.001596,4.869000
273,0.001590,4.888000
274,0.001584,4.906000
275,0.001578,4.924000
276,0.001572,4.940000
277,0.001566,4.957000
278,0.001560,4.975000
279,0.001554,4.993000
280,0.001548,5.009000
281,0.001542,5.028000
282,0.001536,5.045000
283,0.001531,5.051000
284,0.001525,5.067000
285,0.001519,5.083000
286,0.001514,5.114000
287,0.001508,5.132000
288,0.001503,5.146000
289,0.001497,5.167000
290,0.001492,5.185000
291,0.001486,5.202000
292,0.001481,5.222000
293,0.001476,5.240000
294,0.001470,5.257000
295,0.001465,5.275000
296,0.001460,5.287000
297,0.001455,5.302000
298,0.001449,5.328000
299,0.001444,5.344000
300,0.001439,5.362000
301,0.001434,5.366000
302,0.001429,5.398000
303,0.001424,5.416000
304,0.001419,5.429000
305,0.001414,5.445000
306,0.001410,5.461000
307,0.001405,5.487000
308,0.001400,5.504000
309,0.001395,5.508000
310,0.001390,5.540000
311,0.001386,5.556000
312,0.001381,5.573000
313,0.001376,5.589000
314,0.001372,5.609000
315,0.001367,5.621000
316,0.001363,5.645000
317,0.001358,5.653000
318,0.001354,5.680000
319,0.001349,5.684000
320,0.001345,5.715000
321,0.001340,5.731000
322,0.001336,5.747000
323,0.001331,5.767000
324,0.001327,5.778000
325,0.001323,5.802000
326,0.001319,5.810000
327,0.001314,5.825000
328,0.001310,5.841000
329,0.001306,5.873000
330,0.001302,5.889000
331,0.001298,5.905000
332,0.001294,5.921000
333,0.001289,5.937000
334,0.001285,5.953000
335,0.001281,5.969000
336,0.001277,5.985000
337,0.001273,6.000000
338,0.001269,6.017000
339,0.001265,6.048000
340,0.001262,6.064000
341,0.001258,6.084000
342,0.001254,6.103000
343,0.001250,6.111000
344,0.001246,6.127000
345,0.001242,6.159000
346,0.001239,6.175000
347,0.001235,6.192000
348,0.001231,6.210000
349,0.001227,6.221000
350,0.001224,6.245000
351,0.001220,6.253000
352,0.001216,6.269000
353,0.001213,6.284000
354,0.001209,6.300000
355,0.001206,6.332000
356,0.001202,6.348000
357,0.001199,6.368000
358,0.001195,6.384000
359,0.001192,6.402000
360,0.001188,6.419000
361,0.001185,6.430000
362,0.001181,6.459000
363,0.001178,6.477000
364,0.001174,6.494000
